Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,fbref_id,90s_shooting_dup,Gls_shooting_dup,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shooting_dup,PKatt_shooting_dup,fbref_id_shooting_dup,90s_passing_dup,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast_passing_dup,A-xAG,KP,1/3,PPA,CrsPA,fbref_id_passing_dup,90s_possession_dup,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att_possession_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_possession_dup,PrgDist_possession_dup,1/3_possession_dup,CPA,Mis,Dis,Rec,fbref_id_possession_dup,90s_defense_dup,Tkl,TklW,Def 3rd_defense_dup,Mid 3rd_defense_dup,Att 3rd_defense_dup,Tkl.1,Att_defense_dup,Tkl%,Lost,Blocks,Sh_defense_dup,Pass,Int,Tkl+Int,Clr,Err,fbref_id_defense_dup,stint_id,Gls/90,Ast/90,TklW/90,Int/90,TklWInt/90,primary_pos,secondary_pos
Brenden Aaronson,us USA,MFFW,Leeds United,24,2000,37,30,2449,27.2,4,5,9,4,0,0,3,0,0.15,0.18,0.33,0.15,0.33,5bc43860,27.2,4,47,17,36.2,1.7279411764705883,0.62,0.09,0.24,0,0,5bc43860,27.2,,,,,,,,,,,,,,,5,,,,,,5bc43860,27.2,,,,,,,,,,,,,,,,,,,,,5bc43860,27.2,,27,,,,,,,,,,,17,,,,5bc43860,Brenden Aaronson__Leeds United,0.14705882352941177,0.18382352941176472,0.9926470588235294,0.625,1.6176470588235294,MF,FW
Joshua Acheampong,eng ENG,DF,Chelsea,19,2006,17,8,666,7.4,1,0,1,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,b7e62e1d,7.4,1,4,2,50.0,0.5405405405405405,0.27,0.25,0.5,0,0,b7e62e1d,7.4,,,,,,,,,,,,,,,0,,,,,,b7e62e1d,7.4,,,,,,,,,,,,,,,,,,,,,b7e62e1d,7.4,,8,,,,,,,,,,,12,,,,b7e62e1d,Joshua Acheampong__Chelsea,0.13513513513513511,0.0,1.081081081081081,1.6216216216216215,2.7027027027027026,DF,
Tyler Adams,us USA,MF,Bournemouth,26,1999,25,21,1772,19.7,2,2,4,2,0,0,8,0,0.1,0.1,0.2,0.1,0.2,2b09d998,19.7,2,10,6,60.0,0.5076142131979695,0.3,0.2,0.33,0,0,2b09d998,19.7,,,,,,,,,,,,,,,2,,,,,,2b09d998,19.7,,,,,,,,,,,,,,,,,,,,,2b09d998,19.7,,24,,,,,,,,,,,30,,,,2b09d998,Tyler Adams__Bournemouth,0.10152284263959391,0.10152284263959391,1.218274111675127,1.5228426395939088,2.7411167512690358,MF,
Tosin Adarabioyo,eng ENG,DF,Chelsea,27,1997,16,8,795,8.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,c81d773d,8.8,0,2,0,0.0,0.22727272727272727,0.0,0.0,0.0,0,0,c81d773d,8.8,,,,,,,,,,,,,,,0,,,,,,c81d773d,8.8,,,,,,,,,,,,,,,,,,,,,c81d773d,8.8,,6,,,,,,,,,,,9,,,,c81d773d,Tosin Adarabioyo__Chelsea,0.0,0.0,0.6818181818181818,1.0227272727272727,1.7045454545454544,DF,
Simon Adingra,ci CIV,MFFW,Sunderland,23,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,0.14,0.0,0.14,0.14,0.14,4dcec659,7.3,1,6,2,33.3,0.8219178082191781,0.28,0.17,0.5,0,0,4dcec659,7.3,,,,,,,,,,,,,,,0,,,,,,4dcec659,7.3,,,,,,,,,,,,,,,,,,,,,4dcec659,7.3,,8,,,,,,,,,,,2,,,,4dcec659,Simon Adingra__Sunderland,0.136986301369863,0.0,1.095890410958904,0.273972602739726,1.36986301369863,MF,FW
Amine Adli,ma MAR,MF,Bournemouth,25,2000,31,10,1094,12.2,3,1,4,3,0,0,2,0,0.25,0.08,0.33,0.25,0.33,dcfb17f4,12.2,3,20,9,45.0,1.639344262295082,0.74,0.15,0.33,0,0,dcfb17f4,12.2,,,,,,,,,,,,,,,1,,,,,,dcfb17f4,12.2,,,,,,,,,,,,,,,,,,,,,dcfb17f4,12.2,,17,,,,,,,,,,,6,,,,dcfb17f4,Amine Adli__Bournemouth,0.24590163934426232,0.0819672131147541,1.3934426229508197,0.49180327868852464,1.8852459016393444,MF,
Emmanuel Agbadou,ci CIV,DF,Wolves,28,1997,14,12,1101,12.2,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,75f1ed80,12.2,0,10,3,30.0,0.819672131147541,0.25,0.0,0.0,0,0,75f1ed80,12.2,,,,,,,,,,,,,,,0,,,,,,75f1ed80,12.2,,,,,,,,,,,,,,,,,,,,,75f1ed80,12.2,,21,,,,,,,,,,,14,,,,75f1ed80,Emmanuel Agbadou__Wolves,0.0,0.0,1.7213114754098362,1.1475409836065575,2.8688524590163937,DF,
Ola Aina,ng NGA,DF,Nottingham,28,1996,18,18,1588,17.6,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,246d153b,17.6,0,12,1,8.3,0.6818181818181818,0.06,0.0,0.0,0,0,246d153b,17.6,,,,,,,,,,,,,,,0,,,,,,246d153b,17.6,,,,,,,,,,,,,,,,,,,,,246d153b,17.6,,21,,,,,,,,,,,26,,,,246d153b,Ola Aina__Nottingham,0.0,0.0,1.1931818181818181,1.477272727272727,2.6704545454545454,DF,
Rayan Aït-Nouri,dz ALG,DF,Manchester City,24,2001,17,12,974,10.8,0,2,2,0,0,0,2,0,0.0,0.18,0.18,0.0,0.18,9b398aea,10.8,0,10,2,20.0,0.9259259259259258,0.18,0.0,0.0,0,0,9b398aea,10.8,,,,,,,,,,,,,,,2,,,,,,9b398aea,10.8,,,,,,,,,,,,,,,,,,,,,9b398aea,10.8,,21,,,,,,,,,,,13,,,,9b398aea,Rayan Aït-Nouri__Manchester City,0.0,0.18518518518518517,1.9444444444444444,1.2037037037037037,3.148148148148148,DF,
Kristoffer Ajer,no NOR,DF,Brentford,27,1998,27,20,1810,20.1,0,1,1,0,0,0,4,0,0.0,0.05,0.05,0.0,0.05,a8c0acb7,20.1,0,10,3,30.0,0.49751243781094523,0.15,0.0,0.0,0,0,a8c0acb7,20.1,,,,,,,,,,,,,,,1,,,,,,a8c0acb7,20.1,,,,,,,,,,,,,,,,,,,,,a8c0acb7,20.1,,23,,,,,,,,,,,15,,,,a8c0acb7,Kristoffer Ajer__Brentford,0.0,0.04975124378109452,1.144278606965174,0.7462686567164178,1.8905472636815919,DF,
